"","species","chemical","formula","iupac"
"59","Abies balsamea","mva","C6H13NO2","(2S)-3-methyl-2-(methylamino)butanoic acid"
"60","Abies balsamea","mva","C18H35NO4","N-cyclohexylcyclohexanamine;3,5-dihydroxy-3-methylpentanoic acid"
"61","Abies balsamea","isopropyl myristate","C17H34O2","propan-2-yl tetradecanoate"
"62","Abies balsamea","propidium iodide","C27H34I2N4","3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium;diiodide"
"63","Abies balsamea","propidium iodide","C27H34IN4+","3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium;iodide"
"64","Abies balsamea","propidium iodide","C27H34N4+2","3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium"
"65","Abies balsamea","propidium iodide","C27H34I2N4","3-(8-amino-3-imino-6-phenylphenanthridin-5-yl)propyl-diethyl-methylazanium;iodide;hydroiodide"
"66","Abies balsamea","propidium iodide","C27H35N4+","3-(3,8-diamino-6-phenyl-6H-phenanthridin-5-yl)propyl-diethyl-methylazanium"
"67","Abies balsamea","propidium iodide","C27H36I2N4+2","3-(3,8-diamino-6-phenylphenanthridin-5-ium-5-yl)propyl-diethyl-methylazanium;dihydroiodide"
"68","Abies balsamea","methicillin","C17H20N2O6S","(2S,5R,6R)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
"69","Abies balsamea","methicillin","C17H20N2O6S","6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
"70","Abies balsamea","methicillin","C19H20N3NaO6S","sodium;(2S,5R,6R)-3,3-dimethyl-6-[(5-methyl-3-phenyl-1,2-oxazole-4-carbonyl)amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate;hydrate"
"71","Abies balsamea","methicillin","C17H20N2O6S","(5R,6R)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
