"","species","chemical","frequency","pmid","cid","cid_count"
"51","Abies balsamea","abiesonic acid",1,"23946828","101881056","1"
"52","Abies balsamea","srl",3,"23874347","446313 9827539 71586954","3"
"53","Abies balsamea","glycogen",1,"23864882","439177 4471484 90478052 133126843","4"
"54","Abies balsamea","polyethylene",1,"23604743","6325 137676 137677 138825 451270 123083 68589 6324","8"
"55","Abies balsamea","ros",5,"26784337, 12802719","287180 2762681 446157","3"
"56","Abies balsamea","beta-myrcene",1,"22394397","31253 5365898","2"
"57","Abies balsamea","diphosphate",1,"22337889","644102 4097574 1023 19095100 115277 4488726 137348075 6852202 6102829 21820032 194658 5289462 124687","13"
"58","Abies balsamea","isopimaradiene",1,"22337889","13969536 519328 6432169","3"
"59","Abies balsamea","levopimaradiene",1,"22337889","443471","1"
"60","Abies balsamea","abietadiene",1,"22337889","443470 10989467 479912","3"
"61","Abies balsamea","testosterone",2,"21186373","6013 5408 5701998 6432567 12304601 11987715 446188 117072371 5995 92456 445071 11870497 17209 12304592 168008974","15"
"62","Abies balsamea","dibenzylfluorescein",1,"21186373","371436 129717229 23104141","3"
"63","Abies balsamea","dbf",1,"21186373","568 3022 43490 371436 12975","5"
"64","Abies balsamea","nadph",1,"21186373","5884 71312102 15983949 22833512 930 71717786 52945042 5885 10533089 11957653 6604144 12598259","12"
"65","Abies balsamea","chlorophyll",16,"19203960, 11986053, 11340042, 11302853","5748352 16667503 12085802 6433192 157010079 6477652 156620228 6449992 15585112 45356932","10"
"66","Abies balsamea","zeaxanthin",1,"19203960","5280899 534748 5362770 29921731 5315430 10973937 11050227 6442658 10603192 11039337 91445 122174101 123134094 21772452 3722169 167530375 167530384","17"
"67","Abies balsamea","antheraxanthin",1,"19203960","5281223 24721254 6377423 5319308 10627152 3967541 164709 45109816 12306663","9"
"68","Abies balsamea","cresyl violet acetate",1,"18708643","82686 135445693 44134641 3673794","4"
