"","species","chemical","frequency","pmid"
"96","Betula papyrifera","zn",2,"25535559, 14553996"
"97","Betula papyrifera","pb",3,"25535559, 17180435, 14553996"
"98","Betula papyrifera","al",4,"18058024, 17180435"
"99","Betula papyrifera","be",1,"18058024"
"100","Betula papyrifera","ba",4,"18058024"
"101","Betula papyrifera","cr",1,"18058024"
"102","Betula papyrifera","ga",2,"18058024"
"103","Betula papyrifera","rb",4,"18058024"
"104","Betula papyrifera","sr",3,"18058024"
"105","Betula papyrifera","aluminum",1,"17180435"
"106","Betula papyrifera","manganese",1,"17180435"
"107","Betula papyrifera","boron",1,"17180435"
"108","Betula papyrifera","oxygen",2,"16414920, 15294764"
"109","Betula papyrifera","c",6,"16137937, 11789920, 28307286"
"110","Betula papyrifera","mercury",9,"12109479"
"111","Betula papyrifera","co",2,"14871736"
"112","Betula papyrifera","sulfur",1,"28310305"
"113","Betula pumila","nitrogen",12,"33542399"
"114","Betula pumila","n",1,"33542399"
"115","Betula pumila","carbon",4,"32947854"
"116","Bryoria spp.","chromium",1,"35218420"
"117","Bryoria spp.","cr",1,"35218420"
"118","Bryoria spp.","nickel",1,"35218420"
"119","Bryoria spp.","copper",1,"35218420"
"120","Bryoria spp.","cu",1,"35218420"
"121","Bryoria spp.","iron",1,"35218420"
"122","Bryoria spp.","fe",2,"35218420"
"123","Bryoria spp.","aluminum",1,"35218420"
"124","Bryoria spp.","al",1,"35218420"
"125","Bryoria spp.","titanium",1,"35218420"
"126","Bryoria spp.","ti",1,"35218420"
"127","Bryoria spp.","vanadium",1,"35218420"
"128","Bryoria spp.","nitrogen",3,"28938217"
"129","Bryoria spp.","n",8,"28938217"
"130","Calamagrostis canadensis","nitrogen",6,"28306929, 28312507"
"131","Calamagrostis canadensis","n",9,"28306929, 28309101"
"132","Calamagrostis canadensis","phosphorus",3,"28306929, 28309101"
"133","Calamagrostis canadensis","potassium",1,"28306929"
"134","Calamagrostis canadensis","magnesium",2,"28306929, 28309101"
