"","species","chemical","frequency","pmid"
"564","Moss","al",95,"37714364, 37630933, 37484992, 37331556, 37330186, 37088876, 36987054, 36840309, 36504303, 36422396, 35410582, 35266044, 34352633, 34346378, 33928411, 33862357, 33801412, 33755741, 33274399, 33236186, 33078701, 33000405, 32752086, 36132514, 31855645, 31309420, 30921718, 30877490, 30805682, 30452390, 30141167, 30027373, 30017103, 29783114, 29399741, 29022280, 29017111, 28262376, 27889805, 27639580, 27614637, 27451641, 26919321, 26479914, 26139460, 26028791, 26026488, 25262949, 25178859, 28890900, 24081920"
"565","Moss","cu",252,"37714364, 37687369, 37632540, 37553101, 37540017, 37537866, 37536154, 37531054, 37484992, 37423921, 37393213, 37331556, 37330186, 37109916, 37088876, 36987054, 36870262, 36870165, 36840309, 36673881, 36647345, 36527540, 36504303, 36426070, 36228845, 36179447, 36119992, 35816113, 35751270, 35669820, 35623510, 35495727, 35484326, 35410582, 35395347, 35266044, 35213067, 34929502, 34834752, 34690444, 34524675, 34418592, 34346378, 34061304, 34030350, 33928411, 33801412, 33594552, 33485129, 33182204, 33161519, 33137994, 32648219, 32635635, 32599729, 32393992, 32319069, 31855645, 31720768, 31696444, 31696426, 31667628, 31604200, 31428967, 31377372, 31309420, 31102869, 31026802, 30921718, 30877490, 30805682, 30731311, 30676862, 30206646, 30141167, 30027373, 30017103, 29844273, 29783114, 29763861, 29649272, 29621677, 29470433, 29460250, 29426166, 29407732, 29399741, 28623799, 28493193, 28482319, 28420186, 28262376, 28214193, 28069267, 27911670, 27889805, 27614637, 27557965, 27207630, 27189454, 27177217, 27061470, 27055368, 27010395, 26888226, 26872532, 26852210, 26520264, 26479914, 26408120, 26407060, 26336845, 26213134, 26139460, 26036418, 26026488, 25982820, 25839179, 25647494, 25647488, 25428998, 25262949, 25178859, 25158478, 25147180, 25055684, 25011119, 24652377, 24267345, 24081920"
"566","Moss","cd",251,"37714364, 37540017, 37537866, 37536154, 37330186, 37088876, 36987054, 36870262, 36840309, 36559642, 36529391, 36504303, 36426070, 36270374, 36228845, 35816113, 35751270, 35669820, 35623510, 35484326, 35410582, 35397161, 35395347, 35266044, 35213067, 34929502, 34898127, 34834752, 34834748, 34352633, 34346378, 34061304, 34030350, 33801412, 33755741, 33594552, 33236186, 33187837, 33182204, 33137994, 32914307, 32752086, 32648219, 32635635, 32599729, 32319069, 32111035, 32088551, 32014777, 31855645, 31720768, 31696426, 31627425, 31604200, 31455284, 31428967, 31377372, 31376600, 31310934, 31309420, 31102869, 31026802, 30921718, 30877490, 30805682, 30676862, 30206646, 30141167, 30027373, 29844273, 29783114, 29763861, 29649272, 29621677, 29525749, 29460250, 29454208, 29426166, 29407732, 29399741, 28923752, 28542369, 28482319, 28441611, 28420186, 28391156, 28283296, 28214193, 27911670, 27889805, 27610744, 27269992, 27207630, 27177217, 27061470, 27055368, 27010395, 27003805, 26888226, 26739991, 26479914, 26408120, 26336845, 26213134, 26139460, 26026488, 25982820, 25647494, 25647488, 25262949, 25259407, 25178859, 25158478, 25055684, 24652377, 24469606, 24267345, 24081920"
"567","Moss","pb",375,"37714364, 37687369, 37656838, 37537866, 37536154, 37531054, 37330186, 37198446, 37088876, 36987054, 36870262, 36840309, 36780087, 36529391, 36504303, 36228845, 35816113, 35751270, 35669820, 35623510, 35523381, 35410582, 35395347, 35266044, 35213067, 35039489, 34929502, 34898127, 34834752, 34834748, 34625899, 34524675, 34352633, 34346378, 34098279, 34061304, 33801412, 33666476, 33594552, 33274399, 33187837, 33182790, 33182204, 33161519, 33137994, 32752086, 32648219, 32635635, 32599729, 32319069, 32014777, 31855645, 31720768, 31696444, 31696426, 31627425, 31604200, 31491300, 31491254, 31450077, 31428967, 31377372, 31376600, 31310934, 31309420, 31102869, 31026802, 30951104, 30921718, 30877490, 30805682, 30731311, 30676862, 30517793, 30206646, 30096681, 30027373, 30017103, 29844273, 29783114, 29763861, 29649272, 29621677, 29525749, 29470433, 29460250, 29454208, 29426166, 29407732, 29399741, 31265002, 31265000, 30968860, 30958487, 30872955, 29261745, 29200942, 28923752, 28852908, 28724734, 28542369, 28482319, 28441611, 28420186, 28283296, 28262376, 28214193, 28069267, 30215625, 27911670, 27614637, 27610744, 27568198, 27269992, 27207630, 27177217, 27176515, 27061470, 27055368, 27010395, 26888226, 26758230, 26739991, 28260972, 26479914, 26461139, 26408120, 26336845, 26139460, 26036418, 26026488, 25983646, 25982820, 25763955, 25647494, 25647488, 25259407, 25178859, 25158478, 25055684, 24946030, 24788924, 24652377, 25814907, 25814877, 24333638, 24267345, 24160592, 24081920"
"568","Moss","zn",248,"37714364, 37687369, 37599973, 37553101, 37540017, 37537866, 37536154, 37531054, 37484992, 37393213, 37331556, 37198446, 37088876, 36987054, 36870262, 36870165, 36840309, 36673881, 36647345, 36529391, 36504303, 36228845, 36179447, 36108862, 35751270, 35669820, 35623510, 35523381, 35495727, 35484326, 35410582, 35395347, 35266044, 35213067, 34929502, 34898127, 34834752, 34625899, 34524675, 34412043, 34346378, 34061304, 34030350, 33928411, 33801412, 33755741, 33594552, 33523975, 33485129, 33187837, 33182204, 33161519, 33137994, 32823699, 32752086, 32635635, 32599729, 31855645, 31720768, 31696444, 31696426, 31667628, 31627425, 31604200, 31377372, 31309420, 31102869, 31026802, 30921718, 30877490, 30805682, 30731311, 30676862, 30656356, 30206646, 30141167, 30027373, 30017103, 29844273, 29783114, 29649272, 29621677, 29525749, 29470433, 29460250, 29426166, 29407732, 29399741, 28542369, 28493193, 28482319, 28420186, 28283296, 28262376, 28214193, 28069267, 27911670, 27889805, 27614637, 27610744, 27568198, 27557965, 27451641, 27207630, 27189454, 27177217, 27061470, 27010395, 27003805, 26888226, 26872532, 26758230, 26479914, 26408120, 26336845, 26213134, 26139460, 26036418, 26026488, 25982820, 25931985, 25647494, 25647488, 25178859, 25158478, 25055684, 24842309, 24788924, 24652377, 24469606, 24267345, 24081920, 23904608"
"569","Moss","ba",39,"37714364, 37088876, 36504303, 35280564, 35087305, 35050075, 33801412, 33755741, 33187837, 32752086, 33543057, 30921718, 30733787, 30456494, 30141167, 30017103, 29783114, 29621677, 28262376, 28069267, 27889805, 26888226, 25350549, 25259407"
"570","Moss","cr",144,"37714364, 37531054, 37331556, 37330186, 37088876, 37020065, 36987054, 36870262, 36840309, 36673881, 36504303, 36228845, 35816113, 35751270, 35523381, 35410582, 35395347, 35266044, 34524675, 34352633, 34346378, 34061304, 33845861, 33801412, 33755741, 33594552, 33187837, 32901409, 32752086, 32635635, 32599729, 32319069, 31720768, 31667628, 31428967, 31377372, 31309420, 31026802, 30933753, 30924565, 30921718, 30877490, 30805682, 30740119, 30676862, 30456494, 30206646, 30141167, 30027373, 29844273, 29649272, 29621677, 29525749, 29488352, 29470433, 29460250, 29407732, 29399741, 29207354, 29017111, 28923752, 28672237, 28623799, 28493193, 28420186, 28283296, 28262376, 27911670, 27889805, 27614637, 27612083, 27207630, 27010395, 26758230, 26520264, 26479914, 26408120, 26336845, 26026488, 25647494, 25647488, 25178859, 25158478, 25055684, 24652377, 24081920"
"571","Moss","fe",155,"37714364, 37537866, 37484992, 37331556, 37330186, 37088876, 36987054, 36840309, 36647345, 36504303, 36228845, 36108862, 35495727, 35484326, 35410582, 35266044, 35213067, 34690444, 34524675, 34346378, 34061304, 33928411, 33862357, 33801412, 33755741, 33274399, 33236186, 33182204, 33161519, 33137994, 32823699, 32752086, 32235440, 31855645, 31696444, 31696426, 31667628, 31604200, 31377372, 31320727, 31309420, 31102869, 30877490, 30805682, 30731311, 30676862, 30637584, 30206646, 30141167, 30027373, 30017103, 29783114, 29649272, 29621677, 29460250, 29426139, 29407732, 29403016, 29399741, 29017111, 28623799, 28562060, 28493193, 28482319, 28262376, 28069267, 27911670, 27889805, 27761669, 27614637, 27610744, 27572095, 27557965, 27053427, 27044293, 26520264, 26479914, 26408120, 26336845, 26139460, 26026488, 25647494, 25647488, 25262949, 25178859, 25158478, 25089878, 24652377, 24554294, 24332791, 24081920"
"572","Moss","sr",41,"37714364, 34352633, 33801412, 33755741, 33187837, 32752086, 31667628, 31377372, 30921718, 29783114, 29353697, 28684335, 28262376, 27889805, 27614637, 26630037, 26026488"
"573","Moss","phosphorus",91,"37714364, 37701074, 37600962, 37598496, 37375023, 37346926, 37186018, 37087649, 37050067, 36950359, 36671750, 36584133, 36300568, 36052783, 36052781, 36030861, 35840336, 35697659, 35648993, 35533858, 34826348, 34763188, 34702930, 34690397, 34525688, 36267144, 34191821, 33568642, 33547284, 33182790, 32918685, 32236738, 32034593, 31802606, 31254834, 30900793, 30677983, 30652488, 30525692, 29898554, 29893021, 29477819, 28944030, 28672237, 28005390, 27883187, 27487447, 26519581, 25897506, 25599914, 25527195, 25223036, 24894911, 24630445, 24602847, 23995937"
"574","Moss","selenium",26,"37696080, 37415941, 37371995, 37107873, 35668141, 35125913, 33535361, 33182790, 31743010, 28380296, 27058132, 24997953, 24823685"
"575","Moss","nickel",26,"37632540, 37415941, 37331556, 37269719, 36780087, 36074912, 35202981, 35151745, 34426394, 34030082, 31502609, 28467673, 28420186, 26771587, 26408120, 25703579, 24852494, 24788924, 24047109, 23884171"
"576","Moss","copper",102,"37632540, 37393213, 37331556, 37181329, 37107873, 36870262, 36818593, 36780087, 36532243, 36179447, 35680281, 34834752, 34818820, 34561499, 34426394, 34418592, 33928411, 33860278, 33475760, 33182790, 32393992, 31662248, 31330081, 31065457, 31037485, 30237936, 29470433, 29416956, 28738636, 28420186, 27568198, 26878481, 26872532, 26852210, 26467431, 26408120, 26407060, 25703579, 25428998, 25252715, 25011119, 24788924, 24304308"
"577","Moss","aluminum",9,"37630933, 37331556, 34412043, 32314286, 27451641, 26919321, 24788924"
"578","Moss","calcium",175,"37628088, 37591540, 37534775, 37398454, 37233615, 37186018, 36507655, 36403161, 36270374, 36193931, 36030861, 35968883, 35506136, 35384969, 35340103, 35183477, 35146383, 34951344, 34748262, 34544806, 34529050, 34326243, 33894202, 33865779, 33306104, 33297761, 33182790, 32810281, 32796396, 32708382, 32675315, 32553260, 32464396, 32174130, 31988387, 31916532, 31797319, 31485576, 31377034, 30966791, 30678759, 30677983, 30629304, 30478332, 30380188, 30036707, 29973916, 29921656, 29878186, 29604994, 29507239, 29417706, 29401398, 29373928, 29118720, 29096972, 28955198, 28684335, 28658532, 28655649, 28038871, 27399837, 27228999, 26973533, 26926095, 26408120, 26160956, 26155045, 26034201, 25638644, 25540196, 25479336, 25261019, 25216454, 25192641, 24998360, 24860579, 24744114, 24623148"
"579","Moss","sodium",67,"37628088, 37107749, 36673388, 36455665, 35878856, 35683760, 35644364, 34921057, 34714114, 33985985, 33182790, 30966791, 30118317, 30098863, 29748250, 29161669, 29767134, 27566755, 27287068, 27228999, 26900580, 26408120, 26245929, 25251033, 25119607, 25119606, 24756514, 24191681, 24107423, 23922647"
"580","Moss","sn",10,"37599973, 37198446, 36897218, 29783114, 26026488, 25563519"
"581","Moss","sb",33,"37590253, 36903999, 35816113, 35266044, 34352633, 33801412, 33137994, 31720768, 31696426, 30677983, 30027373, 30017103, 28923752, 27889805, 27189454, 27177217, 27003805, 26520264, 26213134, 26026488, 25259407"
"582","Moss","iodine",27,"37565288, 37371995, 35063220, 32870419, 32859315, 32803579, 32523889, 31200667, 28291381"
"583","Moss","magnesium",14,"37552253, 37186018, 37107749, 36094342, 33894202, 33512299, 33182790, 31827091, 31662248, 26408120, 25638644"
"584","Moss","sulfur",79,"37552253, 36422375, 36271605, 34845335, 34731304, 34579434, 32814866, 32374788, 32314286, 31848270, 31689305, 30900793, 30761723, 30634610, 28922872, 28558648, 27826293, 29964910, 26579093, 26029168, 25954835, 25700338, 25115011, 24823685, 24364293, 24225886"
"585","Moss","mg",60,"37552253, 37484992, 37346926, 36897218, 36840309, 36647345, 36235517, 36108862, 35657106, 34524675, 34352633, 34061304, 33979931, 33928411, 33801412, 33236186, 32823699, 32752086, 31739643, 31671549, 31377372, 31309420, 30141167, 29783114, 28684335, 28562060, 27911670, 27889805, 27226308, 26888226, 26872532, 26408120, 26139460, 26113160, 26019342, 25638644, 24652377, 24039913"
"586","Moss","be",14,"37450530, 36288904, 36245257, 35816113, 33656369, 29621677, 26461139, 24946030"
"587","Moss","manganese",18,"37423921, 37331556, 37107873, 37107749, 36074912, 35395347, 34615668, 33182790, 24788924"
"588","Moss","silver",13,"37415941, 37298231, 37107873, 37021664, 36374271, 35834409, 34266237, 33579049, 30017103"
"589","Moss","germanium",4,"37415941, 28707902, 25157832"
"590","Moss","uranium",9,"37415941, 31429316, 30592996, 28111489, 28069267, 26066779"
"591","Moss","vanadium",23,"37415941, 37269719, 36527540, 35533858, 35257806, 34625899, 29470433, 26771587, 26408120, 25703579, 25259407, 24788924, 23884171"
"592","Moss","zirconium",7,"37415941, 32330909, 31796651, 27410720"
"593","Moss","palladium",6,"37376839, 34014644, 27189454, 26298342"
"594","Moss","pd",19,"37376839, 35207909, 33755741, 28472155, 27189454, 26298342"
"595","Moss","potassium",42,"37375023, 37186018, 37107749, 36584133, 35840336, 35751270, 35697659, 35340103, 34702930, 33498651, 33182790, 32111696, 31644656, 30677983, 30652488, 30592996, 29600697, 29254963, 27487447, 26985023, 26408120, 25119607, 25119606"
"596","Moss","arsenic",49,"37331556, 37269719, 36380264, 35668141, 35151745, 34625899, 34088170, 34030082, 33666755, 33420571, 33270937, 31743010, 31550387, 29567188, 29525749, 29157972, 28648372, 27933331, 27911670, 26479914, 26408120, 25703579, 24852494, 24788924"
"597","Moss","chromium",24,"37331556, 37269719, 37107749, 36870262, 35151745, 34426394, 34030082, 33666755, 32598064, 29470433, 29207354, 28420186, 26408120, 25703579, 25178859, 24852494, 24788924"
"598","Moss","gadolinium",17,"37294264, 37227343, 36696226, 36519747, 36460211, 36351741, 36056946, 34615668, 34224527, 33225427, 33000405, 26763280, 29759362, 23916739"
"599","Moss","cadmium",50,"37269719, 37107873, 36870262, 36559642, 36270374, 35668141, 35257806, 35151745, 34426394, 34030082, 33568642, 32111035, 32088551, 31376600, 31037485, 30951104, 30017103, 29454208, 28441611, 28420186, 28391156, 27058127, 26739991, 26408120, 25703579, 25548023, 24852494, 24469606"
"600","Moss","lanthanum",3,"37233615, 29555594, 29058634"
"601","Moss","cs",51,"37198446, 36207577, 36109179, 34474153, 33801412, 33581392, 32928045, 30456494, 29783114, 29621677, 28057327, 27889805, 27481775, 27213569, 27018893, 27003805, 26872532, 26651376, 26540258, 26026488, 26010098, 25147180, 24779858, 24721047"
"602","Moss","rb",18,"37198446, 33801412, 31667628, 30921718, 30456494, 30017103, 29783114, 29621677, 29407732, 29202268, 27889805, 27614637, 27053427, 27003805"
"603","Moss","si",31,"37198446, 36647345, 36422396, 36108862, 36074912, 35607319, 33928411, 33442762, 32710120, 31882664, 31309420, 29992968, 29280963, 29035545, 28892635, 27467047, 24646620, 23898166"
"604","Moss","ti",22,"37198446, 36228845, 34352633, 33755741, 33274399, 33236186, 32901409, 31667628, 31377372, 30656356, 29783114, 29017111, 28069267, 27889805, 27614637, 27572095, 26026488"
"605","Moss","s",19,"37198446, 36933172, 36559642, 34731304, 33928411, 32823699, 30637584, 30619151, 29987927, 29783114, 28562060, 27614637, 29964910, 25262949"
"606","Moss","zr",13,"37198446, 35607319, 33236186, 32330909, 31796651, 31720768, 27889805, 27177217"
"607","Moss","molybdenum",5,"37107749, 35533858, 29477819, 27883187, 26771587"
"608","Moss","as",100,"37088876, 36987054, 36228845, 35816113, 35266044, 34834748, 34625899, 34352633, 34061304, 33862357, 33801412, 33236186, 33182204, 33137994, 32635635, 32599729, 32235440, 31855645, 31743010, 31720768, 31696426, 31667628, 31310934, 30877490, 30805682, 30677983, 30676862, 30456494, 30027373, 29844273, 29621677, 29525749, 29407732, 29157972, 28923752, 28648372, 28623799, 28482319, 28069267, 27933331, 27911670, 27889805, 27805012, 27614637, 27269992, 27177217, 27003805, 26758230, 26479914, 26408120, 26213134, 26139460, 26028791, 26026488, 25982820, 25647494, 25647488, 25262949, 25178859, 25158478, 25055684, 24081920, 23937369"
"609","Moss","ge",2,"37044881, 25157832"
"610","Moss","fluorine",8,"37021664, 34095927, 33335676, 27587295"
"611","Moss","lu",2,"37018210"
"612","Moss","silicon",33,"36985040, 36897218, 36869439, 36422396, 35630223, 33530567, 33442762, 32932439, 32710120, 32597629, 31550387, 28892635, 26901350, 26701054, 26694656, 25157832, 24496243, 23903103, 23898166"
"613","Moss","nh",3,"36883255"
"614","Moss","lithium",37,"36816776, 36532243, 36527540, 36421764, 35783163, 33861070, 32602612, 30634610, 28984129, 26950030, 25157832, 24898258, 24492429"
"615","Moss","eu",1,"36615917"
"616","Moss","og",2,"36479034"
"617","Moss","indium",4,"36422396, 30876001, 26517364, 24842309"
"618","Moss","au",34,"36422396, 36273092, 36091448, 34962768, 34143229, 31386493, 30412596, 29202268, 27805012, 26694656, 24134588"
"619","Moss","strontium",4,"36264468, 33182790, 28684335"
"620","Moss","p",44,"36235517, 36108862, 36052781, 34898127, 34702930, 34525688, 33862357, 33314828, 32823699, 32017783, 31418195, 31309420, 30637584, 30619151, 29783114, 29477819, 31265000, 29200942, 28562060, 28482319, 27883187, 27614637, 27487447, 27176515, 26213134, 25599914, 24652377, 24630445, 24602847"
"621","Moss","v",30,"36228845, 35266044, 34625899, 34346378, 33755741, 33594552, 32752086, 32599729, 31667628, 30933753, 30921718, 30877490, 30805682, 30206646, 30027373, 29844273, 29621677, 29460250, 28623799, 28493193, 28482319, 28262376, 27614637, 26213134, 26139460, 26026488, 25647494, 25178859"
"622","Moss","pa",27,"36130703, 30790651, 30371163, 29712609, 29332625, 28179101, 26061914, 25442282, 24721726"
"623","Moss","cobalt",11,"36074912, 34030082, 33666755, 33182790, 31184345, 24852494"
"624","Moss","pt",7,"35834409, 27189454"
"625","Moss","tl",6,"35816113, 30017103, 27177217, 25262949, 25259407"
"626","Moss","se",23,"35816113, 35495727, 33801412, 33535361, 33137994, 32823699, 31743010, 31667628, 30877490, 28672237, 27889805, 27003805, 26479914, 25262949, 24997953"
"627","Moss","re",1,"35816113"
"628","Moss","fl",2,"35768058, 34468919"
"629","Moss","ra",24,"35682657, 34465372, 34288565, 32310291, 31464042, 31326633, 30114317, 29301505, 27304752, 27213569, 25988258, 25746009"
"630","Moss","tb",16,"35552463, 34898127, 33801412, 31588362, 30517796, 28336452, 27911670, 27889805, 27325126, 26529238"
"631","Moss","plutonium",18,"35121277, 34438257"
"632","Moss","ac",5,"35050075, 34669023"
"633","Moss","ta",11,"34733689, 33801412, 32967127, 29202268, 28520666"
"634","Moss","ts",1,"34733689"
"635","Moss","lr",3,"34655373, 26779392"
"636","Moss","thallium",1,"34528073"
"637","Moss","u",7,"34352633, 33801412, 32729071, 31720768, 30921718, 28069267"
"638","Moss","tin",6,"34307880, 30222220"
"639","Moss","platinum",6,"34301411, 30870286, 27189454, 24549177"
"640","Moss","sc",6,"33801412, 33272011, 31667628, 27889805"
"641","Moss","br",7,"33801412, 31667628, 30619151, 28057327, 27889805, 27614637"
"642","Moss","th",9,"33801412, 33236186, 31720768, 28336452, 27213569, 27177217, 27044293, 25259407"
"643","Moss","rh",12,"33432143, 27189454, 26638046"
"644","Moss","radium",2,"33270937"
"645","Moss","titanium",6,"33232411"
"646","Moss","boron",10,"33182790, 31550387, 30683381, 28892635, 24355301"
"647","Moss","terbium",2,"33134665"
"648","Moss","ga",19,"33057650, 29621677, 29280963, 29090569, 27401012, 25751581, 24715198"
"649","Moss","i",1,"32969493"
"650","Moss","chlorine",2,"32833277"
"651","Moss","tm",5,"32559711, 29525749"
"652","Moss","fr",1,"31988387"
"653","Moss","w",4,"31720768, 31265006, 28515670, 27889805"
"654","Moss","gd",6,"35529138, 27889805, 29759362"
"655","Moss","bismuth",9,"31433314, 31187323, 30998990, 29600697, 28071659"
"656","Moss","hs",2,"31261710, 27502551"
"657","Moss","cn",1,"31119292"
"658","Moss","thorium",2,"30592996"
"659","Moss","he",5,"30289775, 27234318, 25709208"
"660","Moss","b",2,"29992968, 25262949"
"661","Moss","cerium",3,"29594589, 24788924"
"662","Moss","f",1,"29594589"
"663","Moss","bi",5,"29157325, 27177217, 25262949"
"664","Moss","barium",2,"29096972, 24788924"
"665","Moss","gallium",2,"29090569, 26298068"
"666","Moss","bromine",2,"28795740, 26829207"
"667","Moss","pm",1,"28273543"
"668","Moss","polonium",1,"28111489"
"669","Moss","nd",1,"28069267"
"670","Moss","argon",2,"27542707, 24986245"
"671","Moss","ar",2,"27304752, 26351989"
"672","Moss","rhodium",1,"27189454"
"673","Moss","sm",1,"27110991"
"674","Moss","pu",1,"26816809"
"675","Moss","beryllium",1,"26461139"
"676","Moss","cesium",2,"26010098"
"677","Moss","tc",6,"25834504, 24567582"
"678","Moss","bk",3,"25578948, 25192641"
"679","Moss","bh",2,"25350549"
"680","Moss","po",2,"25301434, 24630445"
"681","Moss","fm",2,"25012880"
"682","Moss","ds",1,"24721047"
"683","Mushrooms","carbon",222,"37817899, 37587218, 37572921, 37349479, 37242866, 36958546, 36884020, 36756210, 36675894, 36570003, 36542149, 36534408, 36155811, 36060741, 35997091, 35971039, 35933693, 35905953, 35695634, 35667512, 35483531, 35085780, 34829114, 34599826, 34595889, 34311238, 34290552, 34279764, 33877414, 33859628, 33841840, 33647695, 33453580, 33426836, 33426831, 33399895, 33389869, 35381155, 32786881, 32749101, 32720080, 32682088, 32479023, 32409757, 32367555, 32258147, 32178622, 31923874, 31855070, 31854842, 31554126, 31311503, 31083449, 31048986, 31002627, 31002606, 30806269, 32450031, 30515891, 30428675, 30317979, 30213125, 30206952, 29965641, 29953392, 29604913, 29381218, 29199567, 28845775, 28845772, 28691364, 28483534, 28350213, 28094752, 28082758, 28008816, 27910761, 27607466, 27476203, 27279538, 27279534, 27266626, 26756298, 26559698, 26539033, 26118398, 26074742, 25994862, 25892910, 25746623, 25271979, 25271977, 24753190, 24266383, 24266375, 23967057, 23558250, 23554925, 23436641, 23172575, 22966760, 22783085, 22783083, 22506580, 22506579, 22479280, 22324412, 22290399, 34662976, 22202811, 22135905, 22135895, 25187132, 21341527, 21304532, 23956654, 20627228, 20472996, 20198929, 19845295, 19628560, 30764412, 23983516, 19382709, 19326947, 23983508, 19111988, 23997635, 18817154, 23100738, 18648866, 23997604, 18092465, 24015076, 24039499, 24049506, 16291407, 15859464, 24049468, 15702547, 15560485, 12626396, 12568554, 12557355, 12180940, 12028416, 9170251, 21413296, 2592320, 2599760, 3718926, 7191608, 14240962"
"684","Mushrooms","nitrogen",249,"37817159, 37808313, 37796687, 37755033, 37687160, 37685146, 37623582, 37587218, 37572921, 37560890, 37468715, 37210028, 37180882, 36958546, 36901874, 36884020, 36542149, 36335771, 36294588, 36294580, 36244999, 36163273, 36155289, 36118772, 35997091, 35971039, 35905953, 35780758, 35695638, 35695634, 35600869, 35478003, 35191774, 35180597, 34813922, 34737055, 34595889, 34436213, 34347997, 34290552, 33859628, 33822505, 33709417, 33602952, 33426831, 33399895, 35381155, 32945334, 32865923, 32749099, 32720080, 32630357, 32531629, 32423046, 32409757, 32181387, 32178622, 32123065, 31855070, 31759921, 31629762, 31539240, 31048986, 31002627, 31002606, 30806271, 30806270, 30806269, 30782806, 32450031, 30229415, 30055556, 29953392, 29801232, 29604913, 29199567, 29199557, 29195984, 29082241, 28802017, 28762089, 28572943, 28376141, 28094752, 28094748, 28094746, 28008816, 27910761, 27859282, 27696289, 27476203, 27279538, 27266626, 26756298, 26683206, 26675911, 26559698, 26539033, 26100667, 28680985, 25954960, 25954914, 25746408, 25404221, 25271979, 25055110, 24941032, 24266383, 24266375, 23924709, 23831551, 23665188, 23558250, 23510281, 23289786, 22783085, 22783084, 22783083, 22339705, 22324412, 23510252, 22135905, 22135895, 22049158, 25187132, 21474296, 21384879, 22783072, 23956654, 20593514, 20198929, 23983516, 19355906, 23983505, 19111988, 18817154, 18814967, 18327316, 23997604, 24039499, 16859180, 16755070, 16737183, 16386843, 24049506, 16028987, 15859464, 15752219, 24049468, 15521174, 15381850, 14649254, 14503509, 12963408, 12381127, 12180940, 12028416, 9170251, 12285642, 1890905, 2647418, 3916189, 17783527, 7191608, 139970, 8714, 14240962, 14464485, 13425577"
"685","Mushrooms","n",55,"37808313, 37690691, 37522533, 37490982, 36905289, 36754262, 36584876, 35905953, 35892335, 35780758, 35442596, 33877414, 33727666, 33574430, 32423046, 35498574, 31388210, 30392854, 29146962, 28845772, 28284022, 27776228, 26839502, 26244793, 26100667, 26084081, 23665501, 23266315, 22997240, 22783083, 21339137, 23956654, 23983516, 19467593, 24049506, 15859464, 24049468, 15703910"
"686","Mushrooms","sulfur",69,"37788142, 37685146, 37569263, 36550784, 36519553, 36294580, 36144849, 35088592, 35085780, 34877949, 34873706, 34555706, 34302346, 34199818, 34089191, 33859628, 33841840, 33496977, 33389869, 32733077, 32272549, 32196328, 31554126, 30797364, 30602709, 29773008, 28802017, 28707897, 28597472, 28530594, 27910792, 26617008, 26559699, 25518583, 22594661, 22230474, 20198929, 19966456, 18937169, 15969488, 14719930, 12059171, 10347700, 12285642"
"687","Mushrooms","chromium",42,"37774608, 37526876, 35628800, 34347993, 32314140, 31486017, 30806257, 30806223, 29199586, 28755953, 27272918, 25710156, 23643799, 21301988, 20976551, 20665124, 18246511, 17661487, 16679550, 16484080, 16386843, 16141474, 12362793"
"688","Mushrooms","cr",155,"37774608, 37742873, 37542593, 37526876, 37447092, 37245597, 37119858, 36294572, 36144225, 35905616, 35695596, 35667512, 35628800, 35628708, 34695469, 34190029, 33989114, 33929662, 33687630, 33297091, 33244695, 32558496, 32456182, 32436089, 32314140, 32220378, 32199145, 31864118, 31793393, 31363991, 31176215, 30837742, 29734714, 29624491, 29623092, 29621710, 29564562, 28755953, 28463816, 28316048, 28277082, 28121274, 27984821, 27776228, 27272918, 27155831, 27023804, 26854105, 25710156, 25602154, 25577119, 25481828, 25190556, 24779932, 23591676, 22897470, 22702820, 22371035, 22251207, 22234825, 22172519, 21877977, 21429582, 21391032, 20405104, 20167240, 19563856, 18783817, 18246511, 17661487, 17499342, 16679550, 16484080, 16386843, 16141474, 15969488, 11048580"
"689","Mushrooms","se",234,"37764798, 37673806, 37560889, 37073145, 36893598, 36812786, 36684732, 36570003, 36551328, 36374945, 36014403, 35889308, 35807930, 35695591, 35628800, 35440876, 35255370, 35240938, 35240185, 35113771, 34884845, 34500837, 34441637, 34268685, 34152540, 33711727, 33389869, 33389856, 33309597, 32456182, 32392710, 32220378, 32199145, 32003038, 31793393, 31561596, 31518823, 31514008, 31427018, 31346246, 31256391, 30837742, 30684184, 30517766, 30262305, 30093016, 30083671, 29884371, 29621710, 29199570, 27116430, 27649605, 27547513, 27541154, 27481294, 27396321, 27155831, 26799621, 26306295, 25746404, 25746402, 25271981, 24385361, 23683522, 23535542, 23265483, 22900710, 22528771, 22371191, 22371035, 21429582, 21301988, 21069148, 20706946, 20405104, 20138104, 18246511, 17346793, 16616804, 16328241, 16233900, 16161771, 15205868, 14995139, 11368601, 11059844, 10378786, 2320341, 3781756"
