"","species","chemical","frequency","pmid"
"97","Mushrooms","mono-, di-, and triphenolic compounds",1,"10563903"
"98","Mushrooms","peroxyl and alkoxyl radicals",1,"9357330"
"99","Mushrooms","cycloamanides a, b, c, and d",1,"8441706"
"100","Mushrooms","alpha- and gamma-amanitin",1,"1618982"
"101","Mushrooms","vitamins b1 and b2",1,"3290883"
"102","Mushrooms","- and gamma-amanitin",1,"3960099"
"103","Mushrooms","3,4- and 2,5-dihydroxy derivatives",1,"6766171"
"104","Myrica gale",", butyl, 4-pentenyl and 2-phenylethyl isothiocyanate",1,"27496636"
"105","Peltigera aphthosa","chloro-, cyano- and cephalolichens",1,"26017819"
"106","Peltigera aphthosa","methyl and propyl p-hydroxybenzoates",1,"3834834"
"107","Phegopteris connectilis","per- and polyfluoroalkyl substances",1,"28972370"
"108","Picea engelmannii","alpha- and beta-pinene",1,"29679267"
"109","Picea glauca","di-, tri-, tetra- and penta-nucleotide",1,"24119028"
"110","Picea glauca","biphenyl and salicylate",1,"21596420"
"111","Picea glauca","penta-, hexa-, hepta-, and octachlorobiphenyls",1,"12503755"
"112","Picea glauca","oidiodendrolides a (3), b (4), and c (5)",2,"10605057"
"113","Picea mariana","phomopsolides a (1), b (2), and c (3)",1,"27742098"
"114","Picea mariana","di-, tri-, tetra- and penta-nucleotide",1,"24119028"
"115","Pinus contorta","mono- and sesquiterpenes",1,"27379135"
"116","Pinus contorta","p- and o-nitrophenyl-beta-d-glucosides",1,"16814332"
"117","Pinus contorta","alpha- and beta-pinene",1,"1567222"
"118","Pinus resinosa","di-, tri-, and tetranucleotide",1,"21652464"
"119","Pinus resinosa","alpha- and beta-pinene",1,"33862880"
"120","Polygonum cilinode","davicratinic acids b and c",1,"33440779"
"121","Polygonum cilinode","procyanidins b1 and b2",2,"33383239"
"122","Polygonum cilinode","polygonusucroside a (1) and b (2)",1,"32569676"
"123","Polygonum cilinode","cis- and trans-2,3,5,4'-tetrahydroxystilbene 2-o-beta-glucopyranoside",1,"28054445"
"124","Polygonum cilinode","trans- and cis-thsg",1,"28054445"
"125","Polygonum cilinode","gallates and tannins",1,"26246723"
"126","Polygonum cilinode","geraniol-dh i and ii",2,"22878188"
"127","Polygonum cilinode","polygonins a and b",1,"21995450"
"128","Polygonum cilinode","changweikangic acid a (1) and b (2)",1,"20823604"
"129","Polygonum cilinode","hidropiperosides a (1) and b (2)",1,"19023545"
"130","Polygonum cilinode","), and e (",1,"19023545"
"131","Polygonum cilinode","vanicoside a and b",2,"16828242"
"132","Polygonum cilinode","lapathosides a (1), b (2), c (3), and d (4)",1,"11678656"
"133","Polygonum cilinode","peroxyl and hydroxyl radical",1,"10653484"
"134","Polygonum cilinode","trans- and cis-piceid",2,"9404057"
"135","Polygonum cilinode","trans- and cis-resveratrol",1,"9404057"
"136","Polygonum cilinode","cis- and trans-e-3-butylidene-4,5,6,7-tetrahydro-6,7-dihydroxy-1(3h)- isobenzofuranone",1,"7714535"
"137","Populus tremuloides","di- and oligosaccharides",1,"18055435"
"138","Pteridium aquilinum","alpha- and beta- glycerophosphate",1,"27288285"
"139","Rhamalina intermedia","dilute-sulfuric and -phosphoric acid",1,"28892684"
"140","Rhamalina intermedia","saturated and unsaturated fatty acids",1,"24640241"
"141","Rhamalina intermedia","trans-nonachlor and cis-nonachlor favoured meconium",1,"23828374"
"142","Rhamalina intermedia","(r)- and (s)-baclofen",1,"23631116"
"143","Rhamalina intermedia","mono- and polyphialides",1,"30722242"
"144","Rhamalina intermedia","geranyloxy- and farnesyloxy-acetophenone",1,"22698715"
"145","Rhamalina intermedia","tri-, di- and monoacylglycerols",1,"17898515"
"146","Rhamalina intermedia","iron- and sulfate-oligosaccharides",2,"15458342"
"147","Rhamalina intermedia","amino- and ureidopenicillins",1,"12234847"
"148","Rhamalina intermedia","diospyrosides a, b, c, and d (1-4)",1,"10725172"
"149","Rhamalina intermedia","amoxicillin and clavulanic acid",3,"10412851, 9402501"
"150","Rhamalina intermedia","saturated and monounsaturated fatty acids",1,"9172861"
"151","Rhamalina intermedia","d- and l-tyrosine",1,"2955585"
"152","Rubus idaeus","n-6 and n-3 polyunsaturated essential fatty acids",1,"34946523"
"153","Rubus idaeus","trienylfuranones a (2) and b (3)",1,"28246381"
"154","Rubus idaeus","urolithin a, b and c",1,"24969824"
"155","Rubus idaeus","alpha- and beta-ionone",1,"17907775"
"156","Rubus idaeus","alpha- and beta-amyrins",1,"11065285"
"157","Rubus idaeus","alpha and beta-ionones",1,"1007619"
"158","Salix serissima","mono- and oligosaccharides",1,"35200036"
"159","Salix serissima","oligo-, di-, and mono-saccharides",1,"35060943"
"160","Salix serissima","oligo-, di-, and monosaccharides and polyols",1,"28729815"
"161","Salix serissima","5-o- and 7-o-glucosides",1,"26492639"
"162","Salix serissima","gamma-linolenic and arachnidonic) fatty acids",1,"23565181"
"163","Salix serissima","4-methylumbelliferyl and 7-amido-4-methylcoumarin",1,"22986820"
