"","species","chemical","frequency","pmid","cid","cid_count"
"1","Mushrooms","2'-c-methylribonucleoside",1,"36274709",NA,"0"
"2","Mushrooms","radionuclides",76,"36259550, 36129916, 36004707, 35752669, 35206170, 34682323, 33361835, 33172165, 32931520, 32278187, 31973593, 31660261, 30216813, 29334620, 29124643, 29031101, 28770504, 28751728, 28390309, 28258385, 28221918, 27473691, 27359098, 25621976, 24518310, 23453660, 23259847, 23179616, 23124280, 23049869, 22843368, 22765964, 22297261, 21187665, 19890513, 19403160, 19100665, 18191312, 17164593, 16723237, 16579546, 16154178, 15550706, 15367777, 14654275, 12046762, 11936613, 11548360, 11237515, 9558824, 3714974",NA,"0"
"3","Mushrooms","prochloraz-manganese chloride",1,"36246254",NA,"0"
"4","Mushrooms","polysaccharides",1023,"36244999, 36160418, 36145076, 36139844, 36135689, 36126575, 36071846, 36056976, 36041250, 36038680, 36027667, 36012249, 35997097, 35993963, 35992671, 35940783, 35933693, 35910346, 35907449, 35889308, 35889098, 35859110, 35830043, 35807802, 35807336, 35739932, 35733302, 35695635, 35684548, 35684133, 35649960, 35626955, 35600869, 35536497, 35448559, 35446522, 35407069, 35220455, 35205965, 35199807, 35192002, 35181321, 35122806, 34947237, 34944419, 34943001, 34936332, 34936306, 34921890, 34900974, 34888869, 34884845, 34875322, 34836215, 34828915, 34823804, 34805099, 34738876, 34705323, 34595889, 34591399, 34587423, 34587422, 34575766, 34553662, 34509152, 34500837, 34444885, 34444724, 34413784, 34375515, 34347995, 34347994, 34347991, 34203966, 34200897, 34200833, 34149707, 34071432, 34069721, 34061363, 34022313, 33998679, 33981232, 33940295, 33900340, 33822508, 33822497, 33806285, 33804109, 33800212, 33792430, 33791803, 33709503, 33687093, 33676978, 33672228, 33669877, 33639084, 33639077, 33601145, 33598573, 33576366, 33543932, 33542921, 33476617, 33467194, 33465360, 33463933, 33451109, 33436255, 33426835, 33426826, 33426824, 33419035, 33389875, 33389874, 33389855, 33322069, 33288349, 33268175, 33142573, 33127232, 33065160, 33036263, 32894778, 32867640, 32865927, 32865919, 32865901, 32865893, 32749103, 32749098, 32693144, 32592937, 32558497, 32536907, 32479019, 32479017, 32479002, 32356856, 32344549, 32271491, 32178622, 32172063, 32165203, 32156637, 32089236, 32057877, 32044370, 32035956, 32013134, 31936360, 33685191, 31883608, 31865422, 31842490, 31842442, 31838065, 31826512, 31826474, 31751686, 31717970, 31712153, 31697749, 31679304, 31679286, 31679230, 31679225, 31489667, 31457012, 31427018, 31394179, 31377617, 31357717, 31355400, 31313310, 31311503, 31298527, 31289644, 31266266, 31261851, 31199973, 31095342, 31086063, 31086008, 31079669, 31042589, 31038490, 31022848, 31002634, 30992392, 30844451, 30806254, 30806252, 30785270, 30676779, 32450039, 32450038, 32450037, 32450036, 32450028, 32450025, 32450024, 30594618, 30592870, 30468806, 30447375, 30392853, 30381194, 30317981, 30317980, 30317955, 30317948, 30218733, 30182215, 30145161, 30114634, 30093016, 30081079, 30064769, 30049632, 30031081, 29981326, 29953399, 29953361, 29953354, 29895245, 29726720, 29717671, 29717669, 29694839, 29665955, 29545735, 29491277, 29458100, 29431072, 29393350, 29371814, 29311571, 29309866, 29295625, 29293626, 29270245, 29256842, 29256841, 29256840, 29199570, 29199564, 29146352, 29062957, 29051096, 29022634, 28942500, 28895671, 28891191, 28890898, 28845770, 28845769, 28782613, 28758107, 28718825, 28608797, 28605324, 28605319, 28436320, 28353071, 28350213, 28322149, 28322146, 33371533, 28231175, 28178377, 28152202, 28105862, 28094750, 28094745, 28008809, 27910789, 27910787, 27910774, 27910759, 27855917, 27842810, 27246376, 27797216, 29244936, 27649729, 27649599, 27596407, 27500531, 27481299, 27481294, 27481157, 30074350, 27456820, 27447602, 27413214, 30452190, 30035894, 27279536, 27279534, 27268245, 27261764, 27112879, 27095922, 28911588, 26974354, 26900983, 26877235, 26854103, 26756301, 26756190, 26756184, 26743656, 26715282, 26686187, 26683206, 26572366, 26559702, 26559701, 26559700, 26516828, 26506312, 26349516, 26345165, 26244378, 26237450, 26219260, 26082983, 26082980, 26051725, 26034783, 26023937, 25954913, 25954912, 25937256, 25880659, 25868404, 25839812, 25747830, 25746619, 25746404, 25608087, 25600989, 25555819, 25505823, 25498697, 25469921, 25404225, 25355390, 25332995, 25300354, 25271981, 25271979, 25271977, 25252680, 25209501, 25179726, 25143443, 25111860, 25008131, 24992758, 24980757, 24941162, 24941036, 24940908, 24518400, 24493936, 24433673, 24426081, 24392995, 26785237, 24266369, 24236998, 24229406, 24125745, 24083793, 24083790, 24083788, 24063660, 23964551, 23911491, 23884116, 23704809, 23701736, 23662612, 23648024, 23557370, 23557368, 23557365, 23544521, 23543896, 23510287, 23510286, 23497867, 23494974, 23440638, 23370594, 23239862, 23172575, 23140353, 23140352, 23092290, 23072731, 22982812, 22865023, 22824506, 22805935, 22784237, 22783735, 22778553, 22754332, 22583406, 22577977, 22577975, 22577974, 22573010, 22515547, 22506580, 22506573, 22495548, 22479280, 22339710, 22324412, 22324407, 22217303, 23788896, 23510248, 23510221, 23510180, 23510175, 23477214, 22164764, 22135891, 22085754, 21978170, 21915672, 21304532, 21190105, 20549200, 20521989, 22993555, 20355107, 20347942, 19906249, 19809252, 19711151, 19643126, 19597314, 19571787, 19571388, 19494692, 19459738, 18479013, 18322854, 18309284, 18239423, 18167449, 18035728, 20368935, 17895634, 17827055, 17466905, 17432875, 17201124, 16894963, 16846839, 16822205, 16799758, 16428067, 16362410, 16161771, 16001252, 15839415, 15726350, 15703910, 15702547, 15682472, 15641149, 15630237, 15623224, 15556502, 15544548, 15536392, 15285503, 15205366, 14997854, 14982320, 14967412, 14658675, 14601740, 14499133, 12677520, 12568554, 12436306, 12224654, 12207470, 11956739, 11842649, 11216496, 11087506, 10702635, 9987601, 7765244, 8160302, 1394718, 31018285, 24430059, 2089263, 3053051",NA,"0"
"5","Mushrooms","umami",65,"36242961, 36099828, 35905616, 35340024, 34829114, 34533219, 34311238, 34175630, 33782771, 33709503, 33580387, 33233168, 32968729, 32020024, 31108770, 29277224, 29199564, 28551231, 28350213, 27910787, 26304449, 25560993, 25124478, 24941035, 24915349, 24054262, 23768330, 23472642, 22339711, 23510252, 22135878, 20175083, 16569064, 15884853",NA,"0"
"6","Mushrooms","umami amino acids",6,"36242961, 34624741, 29277224",NA,"0"
"7","Mushrooms","5-nucleotides",1,"36242961",NA,"0"
"8","Mushrooms","lipid",323,"36234742, 36141009, 36139844, 36027667, 36004709, 35993962, 35987007, 35836693, 35798070, 35739932, 35649960, 35626955, 35561790, 35442595, 35440876, 35205965, 35075427, 35026489, 34822437, 34599826, 34591400, 34591395, 34475852, 34441665, 34410111, 34390493, 34375514, 34202377, 34100044, 33925340, 33917311, 33818961, 33639084, 33639080, 33580297, 33469926, 33463939, 33463938, 33455975, 33426839, 33389855, 35381154, 33374283, 33322461, 33322069, 33309597, 33179483, 32980948, 32973493, 32971130, 32968729, 32865900, 32749097, 32695912, 32612025, 32526952, 32479018, 32463999, 32462901, 32338890, 32298680, 32119803, 32071815, 32046069, 31936890, 31865422, 31758996, 31751686, 31724396, 31554069, 31455047, 31426291, 31388210, 31313310, 31162580, 30806299, 30806259, 30806258, 30806225, 30806221, 32450018, 30594618, 30592870, 30111678, 30040961, 29986138, 29931536, 29880886, 29861774, 29773003, 29734004, 29701491, 29431071, 29388355, 29345563, 29199585, 29199584, 29199569, 29199554, 29179679, 28572939, 28125070, 28017981, 27910784, 27910773, 27636731, 27733076, 27667329, 27438015, 27388463, 27279533, 27279532, 27279443, 27193019, 27151383, 26853961, 26756186, 26539033, 26349512, 26349510, 26273253, 26082988, 26028707, 25926021, 25720975, 25686270, 25510923, 25263876, 25250317, 24999438, 24941167, 24695618, 24440295, 26785237, 24292357, 24266369, 23994642, 23961190, 23911491, 23796481, 23793036, 23772114, 23737819, 23648024, 23553427, 23497872, 23406154, 22889896, 22783084, 22713951, 22573010, 22369965, 22339705, 34662976, 23510251, 22164766, 21910414, 21864091, 21831304, 22783072, 20647028, 20645726, 20078077, 23074397, 23983533, 19680127, 19628560, 19423319, 19286482, 23983505, 23997631, 19005974, 18825975, 18703747, 18675349, 17988848, 17902625, 17497883, 17457544, 17177499, 17043406, 16959482, 16101298, 15749049, 15337452, 12823261, 12725930, 12616600, 12380748, 9110582, 8795938, 31018285, 568214, 13639353, 13511786",NA,"0"
"9","Mushrooms","reactive oxygen species",71,"36230224, 36187940, 36160418, 35997094, 35993962, 35784738, 35695634, 35616396, 35467805, 34820866, 34682283, 34592222, 34587423, 34531467, 34203617, 34146628, 33941791, 33727666, 33463937, 33209061, 33098907, 32479016, 31679231, 31679230, 31426291, 31374530, 31209936, 31075333, 31022848, 32450037, 30317949, 29959464, 29773003, 29604911, 29491277, 29465116, 29345563, 29199584, 29199569, 29062957, 28291354, 27797216, 27279444, 27103855, 27093515, 26756295, 26516828, 26349513, 25954960, 25954958, 25746621, 25710156, 25620186, 25535943, 25022513, 24679787, 24614118, 24344650, 23662616, 23610080, 23567506, 22135875, 21792367, 20645726, 19355906, 18386902, 17160010, 14593506, 8349201",NA,"0"
"10","Mushrooms","flavonolignan",1,"36222816",NA,"0"
