"","species","chemical","frequency","pmid","cid","cid_count"
"1","Mushrooms","con",5,"36287790","448787 5287966 11963538 156146","4"
"2","Mushrooms","pentadecanoic acid",1,"36287529","13849 22169126 8180","3"
"3","Mushrooms","pma",9,"36287529, 29345558, 22648628","27924 122634 4792 22833501 88055650 134692534 146157527 31721 16682730 6961 265954 10282255 2723735 887","14"
"4","Mushrooms","stearic acid",6,"36287529, 33967311, 32865897, 30043568, 24941169, 16984039","5281 516979 12530 6540287 3033836 10465 14257 11635 12533 2969 13849 3893 985 11006 12391 15600 356 12389 11005 8003 8900 8141 156905849 58250672 124453743 8182 156905857 156905858 154584337 8180 151748360 156905863 12398 62642 8221 8158","36"
"5","Mushrooms","beta-sitosterol",1,"36287529","222284 86821 22012 457801 5321342 16057789 44135706 86573194 86575754 86578692 2369 129317266 9823110 6432744 135408878 14101624 12303637","17"
"6","Mushrooms","ribavirin",7,"36274709, 34813824, 34451856","37542 5064 6713992 11436477 11447914 53384927 291775 10220469 7048773 7048774 6554111 9794820 460516 490511 6603992 6604395 1275117 3007126 21789506 44328976 171034776","21"
"7","Mushrooms","2'-c-methylcytidine",1,"36274709","500902 13871033 92851540 137704763 44316328 60122232 500903 11293303 59844438","9"
"8","Mushrooms","2'-c-methyladenosine",1,"36274709","500900 13871032 22210692 58697481","4"
"9","Mushrooms","ape",6,"36272692","189406","1"
"10","Mushrooms","xylitol",3,"36270836, 24274300, 23796481","6912 827 125409 5315346 11521105 644160 267950 228947","8"
"11","Mushrooms","propiconazole",1,"36246254","43234 679162 679163 679164 679165 10246872 11725649 10088946 6500152 91753","10"
"12","Mushrooms","beta-glucan",374,"36236150, 36234850, 36126575, 36004705, 35736046, 35482469, 35448559, 34952343, 34936306, 34875322, 34683391, 34600952, 34505919, 34441591, 34149707, 34057170, 33928983, 33920583, 33822503, 33806255, 33800212, 33639078, 33541370, 33389854, 33389852, 35381156, 33379207, 33333095, 33322069, 33309412, 33279005, 33276307, 33245358, 33177919, 33036263, 32867640, 32759726, 32749096, 32706908, 32676470, 32630366, 32479021, 32463994, 32413619, 32057877, 31832297, 31641704, 31426608, 31247237, 31095342, 31030754, 31002613, 30806234, 30676779, 30317955, 30263740, 30041479, 29491277, 29345558, 29287801, 29256840, 29249921, 29199574, 29199562, 29156828, 28895671, 28595034, 28465544, 28322142, 27910785, 27910771, 27910770, 27747357, 27596390, 27566177, 27481297, 27481152, 27413214, 27353254, 27138726, 27074537, 26984176, 26957216, 26190751, 25746617, 25346611, 25209501, 25143443, 25071386, 25033107, 24941170, 24940900, 24912704, 24808733, 24493936, 24399760, 24266377, 24200110, 23987310, 23831551, 23557364, 23544521, 23510279, 23494974, 23293888, 23232921, 23140353, 23140352, 23092290, 22865023, 22844473, 22783735, 22717313, 22648628, 22577976, 23510247, 23510171, 22164761, 22135894, 22135887, 22135885, 22135873, 21998613, 21775433, 25213921, 21480277, 21313910, 21304532, 20633495, 20347942, 19885842, 19809252, 19571787, 19144872, 19106638, 19010422, 18454171, 18309284, 18239423, 17895634, 17499199, 17201124, 17043406, 16894963, 15838675, 12470438, 10702635, 9987601","439262 871 3579813","3"
"13","Mushrooms","bg",10,"36236150, 34347998, 33822503, 32479021, 23557364, 22577976","6917960 100089 2747759","3"
"14","Mushrooms","oil",64,"36236150, 35622125, 34520973, 34441470, 34100044, 33773685, 35381151, 33127232, 32558504, 32266246, 31425759, 31002605, 30609800, 30228387, 29701491, 28585172, 28436326, 28345827, 28082791, 27910761, 27494458, 27481303, 27451148, 26692380, 26207731, 25745199, 25473510, 24027758, 22336529, 22290399, 22136665, 21539616, 17023161, 12380748, 18144691","53914095 70487303","2"
