"","species","chemical","frequency","pmid","cid","cid_count"
"1","Mushrooms","rhodamine",1,"15912956","6694 6695 120271 65220","4"
"2","Mushrooms","sodium metaphosphate",1,"15898355","16133893 24968 131843332 56846408 24579","5"
"3","Mushrooms","glycoside",2,"15884853, 11231270","637579","1"
"4","Mushrooms","chlordane",1,"15875887","5993 11954021 24860539 12303038 53393658 2711 12303031 134687881","8"
"5","Mushrooms","malathion",1,"15875887","4004 10892866 90472138 12358970","4"
"6","Mushrooms","l-asparagine",1,"15859464","6267 236 6992089 522362 83887 439600","6"
"7","Mushrooms","ketoglutaric acids",1,"15853411","51","1"
"8","Mushrooms","mitomycin-c",2,"15850970","5746","1"
"9","Mushrooms","ethyl acetate-n-hexane",1,"15794090","21226206","1"
"10","Mushrooms","acivicin",1,"15793668","294641 2007 335293 25201096 18464927 16758175 53918244 53918242","8"
"11","Mushrooms","ndga",3,"15793668, 11605467","4534 71398","2"
"12","Mushrooms","tmb8",2,"15793668","5494","1"
"13","Mushrooms","d-glucopyranose",1,"15778117","5793 206","2"
"14","Mushrooms","xylobiose",1,"15756814","439538 160873 552964 5289595 5289596 5107731 10221379 70702335 126963631 131750922 131674888","11"
"15","Mushrooms","xylotriose",1,"15756814","91873341 10201852 12444993 101601416 134692651 23679813 162999274","7"
"16","Mushrooms","xylotetraose",1,"15756814","10230811 101601989 156620289 13872868 146160895 168322288","6"
"17","Mushrooms","b6",1,"15754481","5476869 49777346 5877645 134815859 5388937 76871938","6"
"18","Mushrooms","rohypnol",1,"15748936","3380","1"
"19","Mushrooms","allantoin",4,"15702547, 2358620","204 6852197 439713 439714","4"
"20","Mushrooms","hyaluronic acid",1,"15682472","24728612 23663392 24759 137699088 24847767 3084050 3084049 53398704 453618 453617 46926206 6852395 118705429 53477741 133126839 163198794 9811157 168313280 21363448 58252935","20"
"21","Mushrooms","pg",6,"15682472, 15641149","10442 4947 5904 135398631 754 53477532 56487 6426709 57882501 98206","10"
"22","Mushrooms","pg",6,"15682472, 15641149","13969536 519328 6432169","3"
"23","Mushrooms","pg0",2,"15682472","8134 123223 8117 53245693 8019 31275 8076 129900114 53627526 86290240 8071","11"
"24","Mushrooms","momilactone a",2,"15665476","162644 90658874 10064250 18336661","4"
"25","Mushrooms","mla",3,"15665476","16219626 45073440 132427696 168315407 867 494471 71434024 75367 90479749","9"
"26","Mushrooms","benzo(a)pyrene",3,"15641149, 14745167","2336 12202235","2"
"27","Mushrooms","benzo(a)pyrene",3,"15641149, 14745167","3488 85382","2"
"28","Mushrooms","u-46619",1,"15630278","5311493 16219283 16760624 5618 44266707 5354027 44311013 71312632 6610266 14134838 71308290 76516092 51522924","13"
"29","Mushrooms","virginiamycin",1,"15623224","11979535 73160420 127053480 92043179 163194236 168311939 168318667 122731 24847675 122361807 122362101 129627791","12"
"30","Mushrooms","rhamnolipid",5,"15601686","168009906","1"
"31","Mushrooms","dimethylnitrosamine",2,"15577212","6124 146418","2"
"32","Mushrooms","cucurbitacins",2,"15568769","119287 4482419","2"
"33","Mushrooms","cucurbitacin b",4,"15568769","5281316 5353545 2885 15944763 180751 146159352 6433476 25245488 137323136 10257187 5384617 137323137 5352002 44448368 122130491 5468522 131698593 134693218 73013261 68103327","20"
