antiprismo
arachno
asym
catena
cis
closo
cyclo
delta
dodecahedro
eta
fac
hexahedro
hexaprismo
hypho
icosahedro
kappa
klado
lambda
mer
mu
nido
octahedro
pentaprismo
quadro
sym
tertahedro
trans
triangulo
triprismo
