acet
sec
tert
poly
ac
acr
adamant
adipo
all
amid
amin
ammoni
anilino
anisdino
anthr
antimon
az
benz
bis
cinnamo
croton
cyan
cyclo
dodec
epi
epox
form
fulm
fur
glutar
glyc
guanidino
hydr
imi
iso
keto
mal
mercapto
naphth
neopent
nicotino
nitr
oleo
palmito
per
phenanthr
phen
phthal
piperid
plumb
pyr
quinol
selan
semi
stann
stearo
styr
succin
sulf
tell
tere
then
tol
undec
ure
vin
xylidino
ylo
