fluora
chlora
broma
ioda
astata
oxa
thia
selena
tellura
polona
livermora
aza
phospha
arsa
stiba
bisma
carba
sila
germa
stanna
plumba
flerova
bora
alumina
aluma
galla
inda
indiga
thalla
zinca
cadma
mercura
copernica
cupra
argenta
aura
roentgena
nickela
pallada
platina
darmstadta
cobalta
rhoda
irida
meitnera
ferra
ruthena
osma
hassa
mangana
techneta
rhena
bohra
chroma
molybda
tungsta
seaborga
vanada
nioba
tantala
dubna
titana
zircona
hafna
rutherforda
scanda
yttra
lanthana
cera
praseodyma
neodyma
prometha
samara
europa
gadolina
terba
dysprosa
holma
erba
thula
ytterba
luteta
actina
thora
protactina
urana
neptuna
plutona
america
cura
berkela
californa
einsteina
ferma
mendeleva
nobela
lawrenca
berylla
magnesa
calca
stronta
bara
rada
litha
soda
potassa
rubida
caesa
franca
hela
neona
argona
kryptona
xenona
radona
